what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429726974357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429727127564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429727131088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429727136501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429727147884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429727154855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429727566900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765247620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765260975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765264995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429765265018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765301410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765441759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765442865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765443939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765445552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765451647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765453377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765455116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765457701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765468998
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429765472179
